Male_parent,Female_parent,Replicate,White_Phenotype,Fluorescence,Number
w+/w+,NanosGD/w+,2,White Eyes,DsRed negative,16
w+/w+,NanosGD/w+,2,Red Eyes,DsRed negative,15
w+/w+,NanosGD/w+,2,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,3,White Eyes,DsRed positive,101
w+/w+,NanosGD/w+,3,Red Eyes,DsRed positive,84
w+/w+,NanosGD/w+,3,Mosaic Eyes,DsRed positive,11
w+/w+,NanosGD/w+,3,White Eyes,DsRed negative,21
w+/w+,NanosGD/w+,3,Red Eyes,DsRed negative,11
w+/w+,NanosGD/w+,3,Mosaic Eyes,DsRed negative,1
w+/w+,NanosGD/w+,4,White Eyes,DsRed positive,153
w+/w+,NanosGD/w+,4,Red Eyes,DsRed positive,74
w+/w+,NanosGD/w+,4,Mosaic Eyes,DsRed positive,5
w+/w+,NanosGD/w+,4,White Eyes,DsRed negative,8
w+/w+,NanosGD/w+,4,Red Eyes,DsRed negative,16
w+/w+,NanosGD/w+,4,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,5,White Eyes,DsRed positive,97
w+/w+,NanosGD/w+,5,Red Eyes,DsRed positive,57
w+/w+,NanosGD/w+,5,Mosaic Eyes,DsRed positive,9
w+/w+,NanosGD/w+,5,White Eyes,DsRed negative,17
w+/w+,NanosGD/w+,5,Red Eyes,DsRed negative,19
w+/w+,NanosGD/w+,5,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,6,White Eyes,DsRed positive,42
w+/w+,NanosGD/w+,6,Red Eyes,DsRed positive,42
w+/w+,NanosGD/w+,6,Mosaic Eyes,DsRed positive,2
w+/w+,NanosGD/w+,6,White Eyes,DsRed negative,11
w+/w+,NanosGD/w+,6,Red Eyes,DsRed negative,10
w+/w+,NanosGD/w+,6,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,7,White Eyes,DsRed positive,88
w+/w+,NanosGD/w+,7,Red Eyes,DsRed positive,51
w+/w+,NanosGD/w+,7,Mosaic Eyes,DsRed positive,2
w+/w+,NanosGD/w+,7,White Eyes,DsRed negative,7
w+/w+,NanosGD/w+,7,Red Eyes,DsRed negative,14
w+/w+,NanosGD/w+,7,Mosaic Eyes,DsRed negative,3
w+/w+,NanosGD/w+,8,White Eyes,DsRed positive,109
w+/w+,NanosGD/w+,8,Red Eyes,DsRed positive,34
w+/w+,NanosGD/w+,8,Mosaic Eyes,DsRed positive,0
w+/w+,NanosGD/w+,8,White Eyes,DsRed negative,7
w+/w+,NanosGD/w+,8,Red Eyes,DsRed negative,15
w+/w+,NanosGD/w+,8,Mosaic Eyes,DsRed negative,0
w+/w+,NanosGD/w+,9,White Eyes,DsRed positive,107
w+/w+,NanosGD/w+,9,Red Eyes,DsRed positive,72
w+/w+,NanosGD/w+,9,Mosaic Eyes,DsRed positive,6
w+/w+,NanosGD/w+,9,White Eyes,DsRed negative,17
w+/w+,NanosGD/w+,9,Red Eyes,DsRed negative,24
w+/w+,NanosGD/w+,9,Mosaic Eyes,DsRed negative,3
w+/w+,NanosGD/w+,10,White Eyes,DsRed positive,64
w+/w+,NanosGD/w+,10,Red Eyes,DsRed positive,35
w+/w+,NanosGD/w+,10,Mosaic Eyes,DsRed positive,0
w+/w+,NanosGD/w+,10,White Eyes,DsRed negative,7
w+/w+,NanosGD/w+,10,Red Eyes,DsRed negative,14
w+/w+,NanosGD/w+,10,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,1,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,1,Red Eyes,DsRed positive,66
ZpgGD/w+,w+/w+,1,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,1,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,1,Red Eyes,DsRed negative,55
ZpgGD/w+,w+/w+,1,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,2,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,2,Red Eyes,DsRed positive,114
ZpgGD/w+,w+/w+,2,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,2,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,2,Red Eyes,DsRed negative,103
ZpgGD/w+,w+/w+,2,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,3,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,3,Red Eyes,DsRed positive,227
ZpgGD/w+,w+/w+,3,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,3,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,3,Red Eyes,DsRed negative,230
ZpgGD/w+,w+/w+,3,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,4,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,4,Red Eyes,DsRed positive,112
ZpgGD/w+,w+/w+,4,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,4,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,4,Red Eyes,DsRed negative,94
ZpgGD/w+,w+/w+,4,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,5,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,5,Red Eyes,DsRed positive,149
ZpgGD/w+,w+/w+,5,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,5,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,5,Red Eyes,DsRed negative,142
ZpgGD/w+,w+/w+,5,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,6,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,6,Red Eyes,DsRed positive,116
ZpgGD/w+,w+/w+,6,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,6,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,6,Red Eyes,DsRed negative,103
ZpgGD/w+,w+/w+,6,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,7,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,7,Red Eyes,DsRed positive,210
ZpgGD/w+,w+/w+,7,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,7,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,7,Red Eyes,DsRed negative,210
ZpgGD/w+,w+/w+,7,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,8,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,8,Red Eyes,DsRed positive,130
ZpgGD/w+,w+/w+,8,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,8,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,8,Red Eyes,DsRed negative,106
ZpgGD/w+,w+/w+,8,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,9,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,9,Red Eyes,DsRed positive,190
ZpgGD/w+,w+/w+,9,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,9,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,9,Red Eyes,DsRed negative,243
ZpgGD/w+,w+/w+,9,Mosaic Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,10,White Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,10,Red Eyes,DsRed positive,131
ZpgGD/w+,w+/w+,10,Mosaic Eyes,DsRed positive,0
ZpgGD/w+,w+/w+,10,White Eyes,DsRed negative,0
ZpgGD/w+,w+/w+,10,Red Eyes,DsRed negative,114
ZpgGD/w+,w+/w+,10,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,1,White Eyes,DsRed positive,25
w+/w+,ZpgGD/w+,1,Red Eyes,DsRed positive,218
w+/w+,ZpgGD/w+,1,Mosaic Eyes,DsRed positive,3
w+/w+,ZpgGD/w+,1,White Eyes,DsRed negative,4
w+/w+,ZpgGD/w+,1,Red Eyes,DsRed negative,69
w+/w+,ZpgGD/w+,1,Mosaic Eyes,DsRed negative,1
w+/w+,ZpgGD/w+,2,White Eyes,DsRed positive,3
w+/w+,ZpgGD/w+,2,Red Eyes,DsRed positive,73
w+/w+,ZpgGD/w+,2,Mosaic Eyes,DsRed positive,0
w+/w+,ZpgGD/w+,2,White Eyes,DsRed negative,1
w+/w+,ZpgGD/w+,2,Red Eyes,DsRed negative,20
w+/w+,ZpgGD/w+,2,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,3,White Eyes,DsRed positive,26
w+/w+,ZpgGD/w+,3,Red Eyes,DsRed positive,246
w+/w+,ZpgGD/w+,3,Mosaic Eyes,DsRed positive,2
w+/w+,ZpgGD/w+,3,White Eyes,DsRed negative,3
w+/w+,ZpgGD/w+,3,Red Eyes,DsRed negative,93
w+/w+,ZpgGD/w+,3,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,4,White Eyes,DsRed positive,9
w+/w+,ZpgGD/w+,4,Red Eyes,DsRed positive,108
w+/w+,ZpgGD/w+,4,Mosaic Eyes,DsRed positive,0
w+/w+,ZpgGD/w+,4,White Eyes,DsRed negative,1
w+/w+,ZpgGD/w+,4,Red Eyes,DsRed negative,48
w+/w+,ZpgGD/w+,4,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,5,White Eyes,DsRed positive,28
w+/w+,ZpgGD/w+,5,Red Eyes,DsRed positive,282
w+/w+,ZpgGD/w+,5,Mosaic Eyes,DsRed positive,3
w+/w+,ZpgGD/w+,5,White Eyes,DsRed negative,4
w+/w+,ZpgGD/w+,5,Red Eyes,DsRed negative,92
w+/w+,ZpgGD/w+,5,Mosaic Eyes,DsRed negative,2
w+/w+,ZpgGD/w+,6,White Eyes,DsRed positive,16
w+/w+,ZpgGD/w+,6,Red Eyes,DsRed positive,183
w+/w+,ZpgGD/w+,6,Mosaic Eyes,DsRed positive,0
w+/w+,ZpgGD/w+,6,White Eyes,DsRed negative,32
w+/w+,ZpgGD/w+,6,Red Eyes,DsRed negative,40
w+/w+,ZpgGD/w+,6,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,7,White Eyes,DsRed positive,50
w+/w+,ZpgGD/w+,7,Red Eyes,DsRed positive,332
w+/w+,ZpgGD/w+,7,Mosaic Eyes,DsRed positive,4
w+/w+,ZpgGD/w+,7,White Eyes,DsRed negative,2
w+/w+,ZpgGD/w+,7,Red Eyes,DsRed negative,95
w+/w+,ZpgGD/w+,7,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,8,White Eyes,DsRed positive,4
w+/w+,ZpgGD/w+,8,Red Eyes,DsRed positive,97
w+/w+,ZpgGD/w+,8,Mosaic Eyes,DsRed positive,0
w+/w+,ZpgGD/w+,8,White Eyes,DsRed negative,2
w+/w+,ZpgGD/w+,8,Red Eyes,DsRed negative,24
w+/w+,ZpgGD/w+,8,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,9,White Eyes,DsRed positive,29
w+/w+,ZpgGD/w+,9,Red Eyes,DsRed positive,329
w+/w+,ZpgGD/w+,9,Mosaic Eyes,DsRed positive,1
w+/w+,ZpgGD/w+,9,White Eyes,DsRed negative,1
w+/w+,ZpgGD/w+,9,Red Eyes,DsRed negative,108
w+/w+,ZpgGD/w+,9,Mosaic Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,10,White Eyes,DsRed positive,7
w+/w+,ZpgGD/w+,10,Red Eyes,DsRed positive,125
w+/w+,ZpgGD/w+,10,Mosaic Eyes,DsRed positive,0
w+/w+,ZpgGD/w+,10,White Eyes,DsRed negative,0
w+/w+,ZpgGD/w+,10,Red Eyes,DsRed negative,67
w+/w+,ZpgGD/w+,10,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w-/w-,1,White Eyes,DsRed positive,333
VasaGD/w+,w-/w-,1,Red Eyes,DsRed positive,0
VasaGD/w+,w-/w-,1,Mosaic Eyes,DsRed positive,0
VasaGD/w+,w-/w-,1,White Eyes,DsRed negative,47
VasaGD/w+,w-/w-,1,Red Eyes,DsRed negative,141
VasaGD/w+,w-/w-,1,Mosaic Eyes,DsRed negative,0
VasaGD/w+,w-/w-,2,White Eyes,DsRed positive,251
VasaGD/w+,w-/w-,2,Red Eyes,DsRed positive,0
VasaGD/w+,w-/w-,2,Mosaic Eyes,DsRed positive,0
VasaGD/w+,w-/w-,2,White Eyes,DsRed negative,65
VasaGD/w+,w-/w-,2,Red Eyes,DsRed negative,72
VasaGD/w+,w-/w-,2,Mosaic Eyes,DsRed negative,0
w-/w-,VasaGD/w+,1,White Eyes,DsRed positive,415
w-/w-,VasaGD/w+,1,Red Eyes,DsRed positive,0
w-/w-,VasaGD/w+,1,Mosaic Eyes,DsRed positive,0
w-/w-,VasaGD/w+,1,White Eyes,DsRed negative,47
w-/w-,VasaGD/w+,1,Red Eyes,DsRed negative,78
w-/w-,VasaGD/w+,1,Mosaic Eyes,DsRed negative,0
w-/w-,VasaGD/w+,2,White Eyes,DsRed positive,435
w-/w-,VasaGD/w+,2,Red Eyes,DsRed positive,0
w-/w-,VasaGD/w+,2,Mosaic Eyes,DsRed positive,0
w-/w-,VasaGD/w+,2,White Eyes,DsRed negative,61
w-/w-,VasaGD/w+,2,Red Eyes,DsRed negative,123
w-/w-,VasaGD/w+,2,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w-/w-,1,White Eyes,DsRed positive,241
NanosGD/w+,w-/w-,1,Red Eyes,DsRed positive,0
NanosGD/w+,w-/w-,1,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w-/w-,1,White Eyes,DsRed negative,1
NanosGD/w+,w-/w-,1,Red Eyes,DsRed negative,249
NanosGD/w+,w-/w-,1,Mosaic Eyes,DsRed negative,0
NanosGD/w+,w-/w-,2,White Eyes,DsRed positive,56
NanosGD/w+,w-/w-,2,Red Eyes,DsRed positive,0
NanosGD/w+,w-/w-,2,Mosaic Eyes,DsRed positive,0
NanosGD/w+,w-/w-,2,White Eyes,DsRed negative,6
NanosGD/w+,w-/w-,2,Red Eyes,DsRed negative,51
NanosGD/w+,w-/w-,2,Mosaic Eyes,DsRed negative,0
w-/w-,NanosGD/w+,1,White Eyes,DsRed positive,274
w-/w-,NanosGD/w+,1,Red Eyes,DsRed positive,0
w-/w-,NanosGD/w+,1,Mosaic Eyes,DsRed positive,0
w-/w-,NanosGD/w+,1,White Eyes,DsRed negative,29
w-/w-,NanosGD/w+,1,Red Eyes,DsRed negative,10
w-/w-,NanosGD/w+,1,Mosaic Eyes,DsRed negative,0
w-/w-,NanosGD/w+,2,White Eyes,DsRed positive,103
w-/w-,NanosGD/w+,2,Red Eyes,DsRed positive,0
w-/w-,NanosGD/w+,2,Mosaic Eyes,DsRed positive,0
w-/w-,NanosGD/w+,2,White Eyes,DsRed negative,15
w-/w-,NanosGD/w+,2,Red Eyes,DsRed negative,5
w-/w-,NanosGD/w+,2,Mosaic Eyes,DsRed negative,0
